Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
<space>,e_<space>,0.1413886547088623,0.06614446640014648,0.05940842628479004,1,84.64
a,<space>_a,0.03178286552429199,0.09119129180908203,0.06752371788024902,0,84.64
r,a_r,0.08264327049255371,0.15016698837280273,0.05720186233520508,0,84.64
e,r_e,0.062268972396850586,0.11947083473205566,0.10988211631774902,0,84.64
<space>,e_<space>,0.13097047805786133,0.06870150566101074,0.04929065704345703,1,84.64
o,<space>_o,0.14896225929260254,0.19825291633605957,0.050637245178222656,0,84.64
n,o_n,0.10089921951293945,0.1515364646911621,0.048403263092041016,0,84.64
e,n_e,0.10369682312011719,0.1521000862121582,0.07759737968444824,0,84.64
<space>,e_<space>,0.10969829559326172,0.006001472473144531,0.07920408248901367,1,84.64
o,<space>_o,0.15909600257873535,0.23830008506774902,0.046907901763916016,0,84.64
f,o_f,0.04414844512939453,0.09105634689331055,0.06768012046813965,0,84.64
<space>,f_<space>,0.028104543685913086,0.09578466415405273,0.022572994232177734,0,84.64
t,<space>_t,0.09890270233154297,0.1214756965637207,0.07665348052978516,0,84.64
h,t_h,0.007834434509277344,0.0844879150390625,0.04851794242858887,0,84.64
e,h_e,0.05800342559814453,0.1065213680267334,0.08186459541320801,0,84.64
<space>,e_<space>,0.1335287094116211,0.07552528381347656,0.0593719482421875,1,84.64
b,<space>_b,0.07962965965270996,0.13900160789489746,0.041472434997558594,0,84.64
l,b_l,0.37177038192749023,0.41324281692504883,0.05445456504821777,0,84.64
e,l_e,0.023003339767456055,0.07745790481567383,0.0684652328491211,0,84.64
a,e_a,0.07325339317321777,0.14171862602233887,0.06615424156188965,0,84.64
d,a_d,0.04077935218811035,0.10693359375,0.08433222770690918,0,84.64
i,d_i,0.10642695426940918,0.06564760208129883,0.042118072509765625,1,84.64
n,i_n,0.0873875617980957,0.12950563430786133,0.04773592948913574,0,84.64
g,n_g,0.011940956115722656,0.0596768856048584,0.07676529884338379,0,84.64
<space>,g_<space>,0.07097649574279785,0.059035539627075195,0.06002330780029297,1,84.64
s,<space>_s,0.275806188583374,0.335829496383667,0.07434344291687012,0,84.64
e,s_e,0.06836128234863281,0.14270472526550293,0.051918983459472656,0,84.64
c,e_c,0.08898568153381348,0.14090466499328613,0.09354543685913086,0,84.64
u,c_u,0.1642763614654541,0.07529067993164062,0.05985903739929199,1,84.64
r,u_r,0.051985979080200195,0.11184501647949219,0.09588050842285156,0,84.64
i,r_i,0.12811565399169922,0.07612967491149902,0.06527948379516602,1,84.64
t,i_t,0.03276491165161133,0.09804439544677734,0.08147215843200684,0,84.64
y,t_y,0.07406139373779297,0.1555335521697998,0.08436703681945801,0,84.64
<space>,y_<space>,0.15015339851379395,0.07609200477600098,0.05637311935424805,1,84.64
e,<space>_e,0.07219672203063965,0.1285698413848877,0.06796932220458984,0,84.64
x,e_x,0.09655117988586426,0.1645205020904541,0.09113216400146484,0,84.64
p,x_p,0.011346578598022461,0.1024787425994873,0.06521797180175781,0,84.64
e,p_e,0.42548298835754395,0.49070096015930176,0.07935881614685059,0,84.64
r,e_r,0.07025671005249023,0.14961552619934082,0.07764029502868652,0,84.64
t,r_t,0.08275246620178223,0.16039276123046875,0.08099770545959473,0,84.64
d,t_d,0.13319826126098633,0.21419596672058105,0.046895742416381836,0,84.64
s,d_s,0.1342182159423828,0.0010199546813964844,0.06280136108398438,1,84.64
<space>,s_<space>,0.0010151863098144531,0.06381654739379883,0.05334830284118652,0,84.64
i,<space>_i,0.3660297393798828,0.41937804222106934,0.06318950653076172,0,84.64
